id,age,sex,race,hispanic,born,degree,marital,childs,wrkstat,income16,class,relig,attend,partyid,polviews,region,weight
1,33,male,black,not hispanic,yes,bachelor's,never married,2,working full time,"$110,000 to $129,999",middle class,protestant,every week,not very strong democrat,"moderate, middle of the road",northeast,2.3695
2,64,male,white,not hispanic,yes,graduate,never married,0,retired,"$60,000 to $74,999",middle class,protestant,never,strong democrat,slightly liberal,northeast,1.3912
3,69,female,white,not hispanic,yes,associate/junior college,married,0,retired,"$110,000 to $129,999",middle class,none,never,strong democrat,extremely liberal,northeast,1.1712
4,19,male,other,not hispanic,no,high school,never married,0,working part time,"$150,000 to $169,999",middle class,protestant,several times a year,"independent (neither, no response)",,northeast,2.7358
5,70,female,white,not hispanic,yes,high school,divorced,3,retired,"$60,000 to $74,999",working class,catholic,nearly every week,"independent (neither, no response)","moderate, middle of the road",northeast,1.2729
6,53,male,other,"another hispanic, latino, or spanish origin",no,associate/junior college,married,2,"unemployed, laid off, looking for work","$7,000 to $7,999",working class,catholic,2-3 times a month,"independent (neither, no response)",,northeast,1.3394
7,48,female,white,not hispanic,yes,high school,married,6,working full time,"$170,000 or over",middle class,none,never,strong democrat,liberal,northeast,4.0706
8,30,female,white,not hispanic,yes,high school,divorced,1,in school,"$8,000 to $9,999",lower class,other,several times a year,other party,"moderate, middle of the road",northeast,0.5329
9,60,female,black,not hispanic,no,associate/junior college,married,2,working full time,"$170,000 or over",working class,protestant,every week,not very strong democrat,"moderate, middle of the road",northeast,2.7526
10,25,male,black,not hispanic,yes,high school,never married,0,"unemployed, laid off, looking for work",,middle class,catholic,less than once a year,"independent (neither, no response)","moderate, middle of the road",northeast,2.94
11,23,female,white,"another hispanic, latino, or spanish origin",no,bachelor's,never married,0,working full time,"$110,000 to $129,999",working class,none,never,strong democrat,liberal,northeast,7.1406
12,68,female,white,not hispanic,no,less than high school,widowed,1,retired,"$8,000 to $9,999",working class,none,never,"independent, close to democrat",extremely liberal,northeast,1.3907
13,43,female,white,not hispanic,yes,associate/junior college,divorced,2,working full time,"$60,000 to $74,999",middle class,catholic,never,other party,,northeast,0.989
14,37,female,white,not hispanic,yes,high school,divorced,1,working full time,"$75,000 to $89,999",working class,none,never,"independent (neither, no response)",extremely liberal,northeast,1.5988
15,63,female,white,not hispanic,yes,high school,divorced,3,working full time,"$17,500 to $19,999",lower class,catholic,every week,"independent (neither, no response)","moderate, middle of the road",northeast,1.3826
16,31,female,white,not hispanic,yes,graduate,married,1,working full time,"$90,000 to $109,999",middle class,catholic,about once or twice a year,strong democrat,slightly liberal,northeast,2.587
17,64,male,white,not hispanic,yes,bachelor's,married,2,working full time,"$170,000 or over",middle class,catholic,never,"independent, close to republican","moderate, middle of the road",northeast,1.28
18,,,white,,yes,high school,married,,retired,,middle class,catholic,,"independent (neither, no response)","moderate, middle of the road",northeast,1.1112
19,63,female,white,not hispanic,yes,less than high school,married,1,working part time,"$110,000 to $129,999",middle class,protestant,about once or twice a year,strong republican,slightly conservative,northeast,1.2931
20,41,female,white,"another hispanic, latino, or spanish origin",no,less than high school,divorced,2,working part time,"$60,000 to $74,999",working class,catholic,less than once a year,not very strong democrat,"moderate, middle of the road",northeast,2.2724
21,75,female,white,not hispanic,yes,high school,divorced,2,retired,"$25,000 to $29,999",middle class,catholic,several times a week,"independent (neither, no response)","moderate, middle of the road",northeast,0.3708
22,51,female,other,not hispanic,no,bachelor's,married,2,working full time,"$170,000 or over",middle class,catholic,2-3 times a month,strong democrat,liberal,northeast,3.6675
23,69,male,white,not hispanic,yes,high school,divorced,0,working full time,"$130,000 to $149,999",middle class,protestant,less than once a year,not very strong republican,"moderate, middle of the road",northeast,0.8435
24,48,male,white,"mexican, mexican american, chicano/a",no,less than high school,married,1,"with a job, but not at work because of temporary illness, vacation, strike","$110,000 to $129,999",working class,catholic,several times a year,strong republican,conservative,northeast,2.0659
25,58,male,other,"another hispanic, latino, or spanish origin",no,high school,married,2,working full time,"$150,000 to $169,999",working class,catholic,2-3 times a month,not very strong democrat,"moderate, middle of the road",northeast,0.9527
26,71,male,white,not hispanic,yes,bachelor's,married,3,working part time,"$170,000 or over",middle class,catholic,every week,not very strong republican,slightly conservative,northeast,3.0709
27,73,female,white,not hispanic,yes,graduate,married,2,retired,"$170,000 or over",upper class,jewish,about once or twice a year,strong democrat,"moderate, middle of the road",northeast,1.7998
28,74,female,white,not hispanic,yes,associate/junior college,married,3,retired,"$150,000 to $169,999",middle class,catholic,never,strong democrat,"moderate, middle of the road",northeast,0.4166
29,56,female,white,not hispanic,yes,associate/junior college,married,2,"with a job, but not at work because of temporary illness, vacation, strike","$30,000 to $34,999",middle class,catholic,about once a month,strong republican,conservative,northeast,0.9049
30,40,male,other,,no,bachelor's,married,3,working full time,,working class,,,not very strong democrat,slightly liberal,northeast,0.9947
31,55,female,white,not hispanic,yes,high school,married,1,"unemployed, laid off, looking for work",,working class,protestant,about once or twice a year,not very strong republican,slightly conservative,northeast,3.315
32,55,female,white,not hispanic,yes,graduate,married,2,"with a job, but not at work because of temporary illness, vacation, strike",,middle class,catholic,2-3 times a month,"independent (neither, no response)","moderate, middle of the road",northeast,2.9323
33,31,male,other,"another hispanic, latino, or spanish origin",yes,high school,never married,0,working full time,"$90,000 to $109,999",working class,protestant,never,not very strong democrat,,northeast,2.7205
34,61,female,white,not hispanic,yes,high school,never married,0,working full time,"$35,000 to $39,999",working class,none,never,other party,extremely liberal,northeast,0.9606
35,71,female,white,not hispanic,yes,high school,never married,0,working part time,"$40,000 to $49,999",lower class,protestant,never,"independent, close to republican",slightly liberal,northeast,0.3708
36,70,female,white,not hispanic,yes,bachelor's,married,,retired,,middle class,jewish,less than once a year,other party,slightly conservative,northeast,0.737
37,60,female,white,not hispanic,yes,bachelor's,married,1,keeping house,"$110,000 to $129,999",middle class,catholic,every week,other party,conservative,northeast,1.2007
38,57,female,other,not hispanic,yes,less than high school,never married,5,"unemployed, laid off, looking for work","$30,000 to $34,999",working class,protestant,2-3 times a month,not very strong democrat,slightly conservative,northeast,0.9536
39,37,female,other,puerto rican,yes,bachelor's,married,3,working part time,"$110,000 to $129,999",working class,catholic,several times a year,strong republican,extremely conservative,northeast,1.5846
40,26,male,white,puerto rican,yes,high school,never married,0,working full time,"$30,000 to $34,999",working class,none,never,"independent (neither, no response)",slightly conservative,northeast,1.9906
41,59,male,white,not hispanic,yes,high school,divorced,4,working full time,"$50,000 to $59,999",working class,catholic,never,"independent, close to republican",slightly conservative,northeast,2.2375
42,65,male,white,not hispanic,yes,high school,married,3,working part time,"$50,000 to $59,999",working class,catholic,less than once a year,not very strong democrat,"moderate, middle of the road",northeast,3.4716
43,71,female,white,not hispanic,no,graduate,married,2,working full time,"$75,000 to $89,999",middle class,catholic,2-3 times a month,"independent (neither, no response)","moderate, middle of the road",northeast,0.7921
44,41,female,white,not hispanic,yes,graduate,married,1,keeping house,"$170,000 or over",upper class,none,never,"independent, close to democrat",slightly liberal,northeast,0.6992
45,58,male,white,not hispanic,yes,bachelor's,married,3,working full time,"$150,000 to $169,999",middle class,jewish,less than once a year,not very strong republican,conservative,northeast,0.9105
46,79,male,white,not hispanic,yes,bachelor's,married,2,retired,"$90,000 to $109,999",middle class,catholic,about once or twice a year,"independent, close to democrat","moderate, middle of the road",northeast,0.8383
47,83,female,white,not hispanic,yes,graduate,widowed,0,retired,"$50,000 to $59,999",upper class,catholic,about once or twice a year,strong republican,"moderate, middle of the road",northeast,0.801
48,57,male,white,not hispanic,yes,bachelor's,married,2,working full time,"$170,000 or over",middle class,jewish,several times a year,not very strong democrat,"moderate, middle of the road",northeast,1.821
49,,male,white,not hispanic,yes,graduate,married,2,retired,"$170,000 or over",upper class,jewish,never,"independent, close to democrat",slightly liberal,northeast,2.0473
50,65,male,white,not hispanic,no,less than high school,married,2,working full time,"$150,000 to $169,999",middle class,catholic,several times a year,"independent (neither, no response)",conservative,northeast,1.5531
51,74,female,white,not hispanic,yes,graduate,married,2,retired,"$170,000 or over",middle class,jewish,several times a week,strong democrat,"moderate, middle of the road",northeast,0.737
52,61,female,white,not hispanic,yes,graduate,married,0,working full time,"$170,000 or over",working class,protestant,2-3 times a month,strong republican,slightly conservative,northeast,0.8005
53,24,female,white,not hispanic,yes,bachelor's,never married,0,working full time,"$75,000 to $89,999",middle class,catholic,less than once a year,not very strong democrat,slightly liberal,northeast,0.4494
54,61,male,black,not hispanic,yes,less than high school,never married,0,"unemployed, laid off, looking for work","$3,000 to $3,999",middle class,protestant,about once or twice a year,strong democrat,extremely liberal,northeast,0.4212
55,56,female,other,not hispanic,no,bachelor's,never married,0,"with a job, but not at work because of temporary illness, vacation, strike","$10,000 to $12,499",lower class,protestant,less than once a year,"independent, close to democrat",slightly liberal,northeast,0.4455
56,72,female,white,not hispanic,yes,bachelor's,never married,0,retired,,middle class,protestant,never,not very strong democrat,slightly liberal,northeast,0.328
